,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
27300276,0.376,0.0,0.33,0.0,0.534,0.0,0.0,0.0,0.18,0.0,1.032,0.158,0.248,0.28800000000000003,0.304,0.304,0.266,0.0,1.404,0.0,0.0,1.504,0.0,0.53,0.0,0.56
27300281,0.69,0.294,1.046,0.0,0.0,1.29,0.0,0.204,1.246,0.0,0.764,0.498,0.0,0.0,0.7180000000000001,0.0,0.8780000000000001,0.20199999999999999,0.18,0.0,0.768,0.0,0.0,0.0,0.42,0.0
22630049,1.3739999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.056,0.0,0.0,1.8119999999999998,0.0,0.0,0.0,0.0
22604000,0.43799999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.366,0.0,0.746,1.5,0.73,1.8719999999999999,0.36,0.308,0.5379999999999999,0.0,1.548,1.4220000000000002,0.0
22621000,0.358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22008020,6.553999999999999,0.428,0.0,1.6640000000000001,5.1160000000000005,1.552,1.714,2.08,0.609,1.7680000000000002,0.0,0.41600000000000004,4.726,4.846,3.32,1.7679999999999998,4.08,5.055999999999999,0.0,0.0,0.49,0.0,0.39,0.0,0.0,0.6
22830002,0.1,0.0,0.0,0.0,0.055999999999999994,0.06,0.054000000000000006,0.0,0.064,0.0,0.066,0.0,0.0,0.0,0.13,0.066,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0
22021260,4.564,10.080999999999998,7.819000000000001,2.638,1.678,3.2439999999999998,2.35,0.0,0.0,0.5630000000000001,0.0,3.646,0.001,1.8629999999999998,0.0,2.496,0.0,0.0,2.698,1.49,0.0,7.79,0.0,0.0,0.0,0.0
23134002,4.106000000000001,0.43,0.0,0.8580000000000001,0.292,0.0,0.0,0.0,0.252,0.0,0.308,0.0,0.0,0.0,0.0,0.156,0.17600000000000002,0.0,0.0,0.276,1.5320000000000003,1.126,0.8620000000000001,0.34,0.674,0.508
22713008,0.8759999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22702002,0.764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22013022,0.87,1.258,0.992,1.042,2.264,2.38,7.295999999999999,3.178,6.2059999999999995,2.25,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22030050,0.966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23110009,150.0,60.0,120.0,123.0,160.0,60.0,172.0,190.0,100.0,70.0,200.0,100.0,180.0,160.0,140.0,110.0,120.0,70.0,80.0,100.0,150.0,170.0,150.0,80.0,190.0,160.0
22603001,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,0.0,2.8040000000000003,0.0,0.0,1.008,1.17,0.0,0.0,0.0,0.0
22036000,16.762,7.242000000000001,17.578,13.822,18.795999999999996,6.624,3.6740000000000004,9.84,7.428000000000001,14.582,14.176000000000002,7.0040000000000004,8.24,10.23,11.856000000000002,14.732000000000001,5.049999999999999,1.9049999999999998,6.458,5.33,12.222000000000001,11.143999999999998,2.614,9.761999999999999,3.99,5.588
27400302,0.102,0.1,0.0,0.0,0.098,0.0,0.0,0.0,0.28,0.182,0.0,0.092,0.0,0.0,0.0,0.0,0.0,0.0,0.188,0.09,0.0,0.0,0.0,0.0,0.0,0.0
27410003,8.0,21.0,29.0,12.0,45.0,72.0,12.0,86.0,38.0,79.0,22.0,36.0,14.0,36.0,43.0,60.0,19.0,48.0,0.0,48.0,14.0,52.0,31.0,9.0,3.0,3.0
22007027,4.0600000000000005,0.6679999999999999,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25150001,2.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.046,0.0,0.0,1.046,0.0,1.046,1.046,0.0,0.0,0.0,0.0,0.0,0.0
27000581,954.0,0.0,0.0,380.0,1330.0,3048.0,2686.0,1122.0,1382.0,958.0,888.0,0.0,0.0,0.0,3700.0,1182.0,1490.0,1322.0,1698.0,4392.0,0.0,2328.0,3570.0,2792.0,1284.0,1310.0
25101044,9.2,2.0,13.2,4.2,2.2,2.0,0.2,0.0,7.2,2.6000000000000005,5.6000000000000005,4.6000000000000005,2.6,9.8,8.6,14.599999999999998,6.800000000000001,7.200000000000001,8.600000000000001,8.8,2.2,13.2,9.199999999999996,4.2,13.2,11.6
27000582,5.25,0.0,2.0,5.125,5.25,13.25,16.375,5.625,6.625,8.125,10.5,7.25,7.375,9.25,8.5,9.25,11.25,19.25,6.75,12.75,6.5,6.0,14.5,4.375,16.5,12.125
